Umugabo ufite inseko yicaye hasi atunganya igare rye	  A man with a smile sits down and fixes his bike
Umugabo wicaye iruhande rw'amagare	A man sitting next to a bicycle
Itsinda ryabantu bahagaze kandi baganira imbere yinyubako	A group of people standing and talking in front of the building
Ibirori cyangwa guhurira munzu ya bamwe kandi abantu baraganira	Celebrations or gatherings in some homes and people talking
Urubyiruko rufite ibiryo byinshi hafi	Young people have a lot of food nearby
Abagabo bane numugore umwe barimo gusabana mubirori	Four men and one woman are having an affair at a party
Abantu benshi bahagaze mugikoni	Many people are standing in the kitchen
Umugabo wambaye ishati yuzuye hamwe na jinsi yubururu ahagarara kuri scafolding	A man wearing a full shirt and blue jeans stands on the scafolding
Umugabo ahagarara kuri scafolding areba hanze	A man standing on a scaffolding looks out
Umugabo ahagaze hejuru yumutuku	The man stands on red
Abagabo bakuze bahagaze kuri scafolding	Older men stand on scafolding
Umugabo ahagaze kububatsi	A man stands on a building
Umugabo ufite umusatsi wijimye wambaye amajipo hamwe nishati yubururu yagenzuwe yurira inkingi kuruhande rwinzu yumuhondo yegera igisenge kibumba ibumba.	A man with dark hair wearing jeans and a blue checked shirt climbs up a pillar next to a yellow house approaching a muddy clay roof.
Umugabo ufite uturindantoki ku kazi n'umukandara w'igikoresho azamuka igiti iruhande rw'inyubako ishaje y'umuhondo n'umweru	A man with fingerprints at work and a tool belt climbs a tree next to an old yellow and white building
Umugabo wambaye ishati yubururu	A man wearing a blue shirt
Umukozi wubwubatsi muri jeans arimo kuzamuka	A construction worker in jeans is on the rise
Uyu mugabo arimo gusana imiyoboro	The man is repairing the pipes
umugore wambaye ingofero yerekana abana batatu bato ikintu mumaboko ye	a woman wearing a helmet shows three young children something in her hand
Abana babiri barimo kureba ikintu gishimishije umuntu mukuru abereka	Two children are watching something interesting for an adult
Umugore nabana batatu bahagaze bareba hasi kukintu hasi	A woman and three children stand staring down at the floor
Itsinda ryabana bareba ikintu kiri mumaboko yundi musore	A group of children look at something in the hands of another guy
umugore arimo kwereka abana babiri ikintu	a woman is showing two children something
Abantu babiri barimo kureba ikintu hasi umuntu arimo gusiba yitonze	Two people are looking at something down and someone is deleting it carefully
Abagabo babiri bagerageza gusiba sima hasi kugirango baringanize	Two men try to clear the cement floor to balance it out
Abagabo babiri barimo gukoresha intoki mu gucukura hasi	Two men are using their hands to dig the ground
Abagabo babiri bari mu ihema barimo gusuzuma hasi	Two men in a tent are examining the ground
Abantu babiri bashakisha ibintu mumwanda	Two people are looking for things in the dirt
Abantu batatu bacuranga ibikoresho imbere yimbaga yabantu	Three people play instruments in front of a crowd
itsinda rikinira kumuhanda nkuko abareba babireba	the group plays on the street as spectators watch
Itsinda rifite igikarabiro gikinira imbaga	The group has a washing machine for the crowd
Ibirori byumuziki wa rubanda bikurura abafana benshi!	Folk music festivals attract a lot of fans!
Itsinda ricuranga imbere yimbaga y'abantu hanze	A group playing in front of a crowd outside
Umuhungu muto wambaye t-shirt	Little boy in t-shirt
Umukino wa skateboard wambaye amajipo yumukara	A skateboarding game wearing black jeans
Umuhungu arimo akora amayeri kuri skateboard ye munsi yibicu byera nikirere cyubururu mugihe abasore bane bicaye bamureba	A boy tricks his skateboard under white clouds and blue skies while four young men are sitting watching him
Umuhungu ni midair mugihe akora skateboard	A boy is a midfielder when he does skateboarding
Umusore wambaye ishati yera skateboarding kumurongo	A young man in a white skateboarding line
Itsinda ryabahungu bingimbi bahagaze imbere ya Wells Fargo Bank	A group of teenage boys stand in front of Wells Fargo Bank
ingimbi zihagaze hanze ya banki ya Wells Fargo	teenagers standing outside Wells Fargo bank
Abagabo bane bahagaze hanze ya Wells Fargo Bank	Four men stood outside Wells Fargo Bank
Abasore bagenda hanze ya banki	Guys walk out of the bank
Abantu bane imbere yamariba fargo	Four people in front of the fargo well
Abagabo babiri barimo gukora urukuta n'amaboko yabo naho umugabo wa gatatu arikinisha munsi yacyo	Two men are making a wall with their hands while the third man is playing under it
Abantu babiri bafatanye amaboko hejuru ya gatatu	Two people held hands over the third
Abahungu babiri bashyize amaboko hamwe undi muhungu agenda munsi yintoki zabo	The two boys put their hands together and the other boy walked under their fingers
Umugabo	Man
abagabo batatu bifotoza	three men posing
Umuhungu muto wambaye t-shati miremire hamwe namakabutura yishimisha yikubita kuri trampoline	A young boy in a long t-shirt and shorts enjoys hitting a trampoline
Umuhungu ukiri muto wambaye ikabutura nishati yicyatsi akora isura mugihe ikirere kiri kuri trampoline	A young boy dressed in shorts and a green shirt makes a face while the air is on a trampoline
Umuhungu ukiri muto usimbuka ibirenge kuri trampoline mu gikari cye cyatsi	A young boy jumps on his trampoline in his green yard
Umwana	Baby
Uyu mwana arimo gusimbuka kuri trampoline nini	This baby is jumping on a big trampoline
Itsinda rito ryabagabo bakuze bishimira ikiganiro munzu yubatswe neza	A small group of older men enjoy a discussion in a well-built house
Itsinda ryabanyeshuri ba kaminuza bateranira mugace rusange	A group of college students gather in a public area
Itsinda ryabasore bato bahagaze kumeza	A group of young men standing at a table
Abantu baganira muburyo busanzwe	People talk in a normal way
Abantu bahagaze mu mfuruka	People standing in the corner
Abakobwa babiri bato bambaye ibirenge bazamuka imigezi ishaje hamwe na se na nyina bakurikira inyuma	Two young girls with their feet up the old rivers with their father and mother following behind
Umuryango ugenda hejuru yigitare	The family walks up to the rock
Abakobwa babiri bambaye ibirenge barimo gutembera hamwe n'ababyeyi babo	Two barefoot girls are walking with their parents
Umuryango urimo gutembera ahantu nyaburanga	The family is traveling to the attractions
Umuryango wabantu bane bagenda bareba	A family of four is watching
Imbaga y'abantu yicaye hamwe kandi benshi bambaye ubwoko bumwe bwimyenda itukura cyangwa ingofero	The crowd sat together and many wore the same type of red dress or helmet
Ibihumbi nabafana mubirori byo hanze bambaye T-shati yera kandi itukura	Thousands of fans at outdoor parties wearing white and red T-shirts
Itsinda ryabafana kuri stade bambaye umutuku kandi bishimye	A group of fans at the stadium dressed in red and cheering
Dore ifoto yabantu muri stade ya siporo	Here is a photo of the people at the sports stadium
Imbaga ya stade yambaye amashati atukura bakoma amashyi bareba	The stadium crowd was dressed in red shirts and applauded as they watched
Umukobwa ukiri muto wicaye mu ngofero arimo gusoma mu iduka rya kawa	A young girl sitting in a hat is reading in a coffee shop
Umukobwa arimo gusoma arimo kunywa ikawa ya Starbuck	A girl reading is drinking Starbuck coffee
Umugore wambaye ingofero yicaye asoma kandi anywa ikawa	A woman in a helmet sits reading and drinking coffee
Umugore ukiri muto anywa ikawa asoma igitabo	A young woman drinking coffee reads a book
umugore wishimira gusoma mu iduka rya kawa	a woman who enjoys reading in a coffee shop
Umwirabura wambaye ishati yimyenda arimo kureba muri microscope	A black man in a shirt is looking in the microscope
Umugabo umwe wumunyamerika wumunyamerika arimo kureba kuri microscope kandi hari icyapa kivuga ko selile zimanitse kurukuta	An American man is looking at a microscope and there is a sign that says the cell is hanging on the wall.
Umugabo ufite umusatsi wogoshe hamwe nishati ya bouton-up arareba muri microscope hafi yicyapa kijyanye na selile zitukura	A man with shaved hair and a button-up shirt looks into a microscope near a red cell sign
Umuhanga wumwirabura areba murwego rusuzuma ingirabuzimafatizo z'amaraso	A black man is looking at a blood test for blood clots
Umugabo akora muri laboratoire yamaraso asuzuma ingero zimwe	  A man working in a blood laboratory examines some examples
Umuhungu wambaye ikoti ritukura na earmuffs yicaye mu rubura mumujyi	A boy in a red coat and earmuffs is sitting in the snow in the city
Abantu batatu barimo gukina mumihanda itwikiriwe na shelegi	Three people are playing on the streets covered in shelves
abana batatu bakina mu rubura mu mujyi	three children playing in the snow in the city
Umuhungu wambaye ikoti ritukura yicaye mu rubura	A boy in a red coat is sitting in the snow
Abana barimo gukina kumuhanda wubura	Children are playing on the missing road
Abahungu babiri bakoze igitego muri jacketi ebyiri kugirango bakine umupira	Two boys scored in two jackets to play football
Abahungu babiri barimo gutera imigeri kuri parike	Two boys are kicking in the park
Abahungu batera umupira wumupira mubyatsi munsi yigiti	The boys throw the ball in the grass under the tree
Abahungu babiri batera umupira mu rwuri	Two boys throw a ball in the pasture
Abana babiri bakina umupira mumurima	Two children play football in the field
Abagabo batanu bambaye nkabagore bambaye amakoti yubwoya bwirabura nikirahure	Five men dressed as women in black fur coats and glasses
Abantu batanu bambaye amakoti yubwoya bwirabura hamwe na wig blonds yegamiye inyubako	Five people in black wool coats and wig blonds against the building
Itsinda ryabagore bahagaze imbere yububiko bambaye wig blond na jacket yumukara	A group of women stand in front of the store wearing a blond wig and a black jacket
Abagabo bambaye gukurura hanze yububiko	Men dressed in towels outside the store
abagabo mukurura bafashe isakoshi	the men in tow grabbed the bag
Umwana aryamye hasi hafi yumupira imbere yimodoka ihagaze ayobora umurongo wimodoka ziparitse ku rutugu rwumuhanda	A child lying on the ground near the ball in front of a parked car leads a line of cars parked on the shoulder of the road
Umuhungu uryamye imbere yimodoka ihagaze yitegereza umupira wumupira wa orange	A boy lying in front of a car staring at an orange ball
Umuhungu wambaye ipantaro ya camouflage numupira we aryamye imbere yimodoka yubururu	A boy wearing camouflage pants and his ball is lying in front of a blue car
Umuhungu aryamye afite umupira wa orange imbere yumurongo wimodoka yubururu	A sleeping boy with an orange ball in front of a blue car line
Umuhungu muto wambaye ipantaro ya camouflage aryamye imbere yimodoka	  A young boy wearing camouflage pants is lying in front of a car
Umukobwa ukina mu kavuyo hamwe n ibikinisho hamwe n段miti yo mu rugo ishobora guteza akaga	A girl playing with a toy and toys and home remedies can be dangerous
Umwana uri muri pajama arunamye kuri comptoir iruhande rwikariso yuzuye ibikinisho	A child in a pajama bows to a computer next to a toy box full of toys
umukobwa muto ufite umusatsi muremure wijimye wicaye kuri comptoire	a young girl with long dark hair sitting on the counter
Umwana wumukobwa ufite igitambaro kuruhande	A girl with a towel on her side
Umukobwa ukiri muto yicaye ku nkombe	A young girl sitting on the beach
Abana batwara swing muri parike yimyidagaduro cyangwa imurikagurisha rya leta	Children take a swing in the amusement park or state fair
Abana bishimira urugendo rwo kwidagadura	Kids enjoy the fun
itsinda ryabana bagendera kuri swing nini	a group of kids riding a big swing
abana barimo kugendana karnivali	the children are walking the carnival
Abana bazunguruka mu kirere	Children roam the air
Umugore apfukama mumwanda hamwe nibikoresho bya paleontologue	A woman kneels in the dirt with paleontology equipment
umuhanga wenyine ucukura mu rutare ibihangano	the only artisan to excavate the art
Umukobwa yicaye hamwe nibikoresho byo gucukura asuzuma urutare	The girl is sitting with the excavator examining the rock
Umugore yoza umukungugu n'umwanda kubishobora kuboneka	A woman cleans dust and dirt from it
Umuntu ufite brush areba urutare runini	Someone with a brush looks at a large rock
Imbwa yijimye kandi yera iriruka mu murima wibyatsi nindabyo zijimye	A dark and white dog runs into a grassy field with dark flowers
imbwa y'amabara menshi yiruka mumurima windabyo	a dog of many colors running in the field
Imbwa ifite umukufi mwinshi wiruka muri nyakatsi	The dog has a lot of white running in the grass
Imbwa ifite umukufi munini wiruka	The dog has a big running dog
Imbwa yiruka mu murima	The dog runs in the field
Umugore wo muri Aziya wambaye imyenda yo muri Aziya yicaye mumatsinda yimyenda	Asian woman in Asian clothes sitting in a group of clothes
Umugore yicaye afite igitebo	A woman sitting with a basket
Umugore wo muri Aziya ugurisha ibitambara	Asian woman sells clothes
Umugore ukiri muto wo muburasirazuba wicaye mubintu bye	A young woman from the East is sitting in her belongings
Umugore wo muri Aziya arimo kugurisha imyenda y'amabara	Asian woman selling color clothes
umwana muto yicaye muri swing kuri parike hamwe nigikombe cyumuhondo	a young child sitting in a swing in the park with a yellow cup
Umukobwa ukiri muto ufite igikombe cya sippy azunguruka kuri swing muri parike	A young girl with a sippy cup walks around a swing in the park
Umwana wumukobwa ukiri muto azunguruka muri swing hamwe nigikombe	A young girl swims in a swing with a cup
Uruhinja muri swing kumunsi wizuba hamwe nigikombe cye	A baby in a swing on a sunny day with his cup
Umwana muto ufashe igikombe ari muri swing	The little boy holding the cup is in the swing
Abantu babiri bambaye amakoti yicyatsi barimo kuvugana numusore kumukinisha dulcimer	Two men in green coats talking to a guy playing dulcimer
Umugabo wambaye swater arimo kuganira numugabo numugore bombi bambaye icyatsi	A man in a sweater is talking to a man and a woman in green
Abantu babiri bavugana numugabo kubyerekeye igikoresho acuranga	Two people talk to a man about his instrument
Abashakanye bavugana numugabo wicaye hamwe na dulcimer	Couples talking to a man sitting with a dulcimer
Ukora umuhanda amwenyura kubakiriya babiri	The road worker smiles at the two customers
Ikirere kiguruka neza mugihe undi areba hasi	The air flies well when the other looks down
Babiri para glider bakora imyitozo yabo mumurima ufunguye	Two para gliders do their exercises in the open field
Abagabo babiri bafite parasite y'amabara bamaze kugwa mumurima	Two men with color parasites have already fallen into a field
Abantu babiri baramanuka bava mumyitozo yabo yo gutwara ikirere	Two people come down from their aerial training
Abantu babiri parashute mumurima	Two people parachute into the field
Umuhungu wambaye ingofero yumuhungu numuhungu wambaye umupira wa baseball ku rubaraza hanze ya resitora	A boy wearing a boy's hat and a boy wearing a baseball bat on the porch outside the restaurant
Abahungu babiri bategereje ku rubaraza imbere yinzu	Two boys were waiting on the porch in front of the house
Umwana wambaye ingofero yinka yiruka yerekeza kuwundi mwana	A child wearing a cowboy hat runs to another child
Umuhungu wambaye ingofero yinka agenda munzu yuburengerazuba	A boy wearing a cowboy hat walks west
Abahungu babiri bato bakinira hanze ya resitora	Two little boys play outside the restaurant
Umusore ukiri muto ufite umusatsi wumuhondo wambaye ishati irambuye agerageza gukura igihaza kinini mumashishwa	A young man with yellow hair wearing a striped shirt tries to get a big bang from his pussy
Umuhungu ukiri muto agerageza gutoragura igihaza ku giti cyacyo	A young boy tries to pick up his fill
Umuhungu muto yagerageje guterura igihaza kiremereye mumurima wigihaza	A young boy tried to lift a heavy sack in a saturated field
Umuhungu muto arwana no gufata igihaza kinini	The little boy is struggling to get enough of it
Umuhungu utoragura igihaza ku gishishwa cy'igihaza	The boy picks the beans on the peel of the beans
Itsinda ryabagabo bambaye imyenda yubuyapani bagenda hafi yubwato bunini	A group of men dressed in Japanese sail close to a large ship
Itsinda ryabagabo muri Aziya bambara bahagaze imbere ya Aziya ireremba	A group of Asian men dressed in front of a floating Asia
Itsinda ryabagabo bambaye iburasirazuba barizihiza	A group of men in the east are celebrating
Abantu bambaye imyenda yo muri Aziya bagenda muri parade	People dressed in Asian attire march
Itsinda ryabantu bari hanze kubirori	A group of people outside the party
Abantu babiri bafashe isi nini hejuru yisi	Two people have taken over the big world
Abahungu batatu barimo gukina hanze	  Three boys are playing outside
Abantu batatu bakina numupira munini usa nisi	Three people play with a big ball that looks like the world
Umuhungu usimbukira kuri ballon nini isa nisi ifashwe nabandi babiri	A boy jumps on a large balloon that looks like the world held by two others
Abasore babiri bafashe umupira munini mugihe uwa gatatu ararusimbuka	Two young men caught a big ball while the third one jumped
Imbwa yijimye yijimye yambukiranya igice kinini cyigiti cyaguye	The dark-skinned dog crossed a large part of the fallen tree
Imbwa yumukara igenda hejuru yigiti cyaguye mumashyamba	A black dog walks over a fallen tree
Imbwa yijimye yijimye igenda hejuru yigiti cyaguye	A dark-skinned dog walks over a fallen tree
Imbwa yijimye igenda hejuru yigiti cyatemwe	A dark dog walks over a cut tree
Imbwa nini y'imbwa igenda ku giti mu ishyamba	A large dog walks on a tree in the forest
Umugabo ari hejuru yinzu mugihe ashushanya amadirishya yo hanze	A man is on top of a house while he is painting the outside windows
Umugabo wambaye ishati yubururu hejuru yera yera ahagaze hejuru yinzu	A man wearing a blue shirt over white and white standing on top of the house
Umugabo usukura amadirishya kumateka ya rd yinzu	A man cleaning windows on the history of rd house
umugabo ukora ku idirishya ryinyubako ishaje	a man working on an old building window
Umukozi arimo gushushanya idirishya	An employee is drawing a window
Umugabo arimo kogosha mu ndorerwamo mu gihe umukobwa amuhagaze inyuma agafata ifoto	A man is shaving in the mirror while a girl stands behind him and takes a photo
Umugabo arimo kureba mu ndorerwamo no kogosha mu gihe umugore arimo kumufotora	A man is looking in the mirror and shaving while a woman is photographing him
Umusore yogosha mu maso	Young man shaving his face
Umukobwa ufata ifoto yumuhungu wiyogoshesha mu ndorerwamo	A girl takes a picture of a boy shaving in the mirror
Umugabo yogosha nkuko umukunzi we afata ifoto	  A man shaves as his girlfriend takes a photo
Umusore muto wambaye ishati itukura yikubita hasi hagati yabantu	A young man in a red shirt kneels down in front of people
Umuhungu ukiri muto ahaguruka munsi ya bariyeri ya polisi	A young boy stands under a police barrier
Umusore ukiri muto ugenda munsi ya bariyeri ya polisi	  A young man walks under a police barrier
Umwana arunamye hasi	The child kneels down
Umuhungu yitaye cyane ku nkweto	The boy took great care of his shoes
Umusore ahagaze imbere ya Candy Cafe afite igiti gito gifite indabyo zijimye imbere yinyubako	  A young man standing in front of the Candy Cafe with a small tree with dark flowers in front of the building
Umugabo wambaye ishati yubururu	A man wearing a blue shirt
Umugabo wambaye ishati yubururu nigitambara ahagaze imbere ya Candy Cafe	A man in a blue shirt and cloth stands in front of the Candy Cafe
Umukozi wambaye ishati yubururu ahagaze imbere yubucuruzi	An employee in a blue shirt stands in front of the business
Umugabo wambaye ingofero yubururu nishati arengana Candy Cafe	A man wearing a blue hat and shirt walks past Candy Cafe
Umukobwa wambaye imyenda yubururu hamwe numupira wa baseball yicaye hafi yinyanja	A girl in a blue dress with a baseball cap sitting by the sea
Umugore yicaye ku mucanga urutare asa n'umuhondo mumazi	A woman sitting on a sand rock looks yellow in the water
Umugore wambaye ikanzu hamwe na baseball yicaye iruhande rwamazi	A woman in a dress and baseball is sitting by the water
Umukobwa yicaye ku mucanga yitegereza inyanja	A girl sitting on the sand watching the sea
Umugore arimo kureba hanze yinyanja	A woman is looking out over the sea
Imbwa yumukara numweru iruma ugutwi kwimbwa yera kandi yijimye	The black and white dog bites the ears of a white and dark dog
Imbwa ebyiri zirwanira hamwe amenyo yinyoye	The two dogs fight together with their gritted teeth
Imbwa ebyiri nini zigerageza kuruma gukina	Two large dogs try to bite
Imbwa yijimye kandi yera ku mbwa yumuhondo	The dog is dark and white to the yellow dog
Hano hari imbwa ebyiri zikina	There are two dogs playing here
Umugabo nabagore babiri barimo kureba mumasoko agurisha vase	A man and two women are looking at a vase shop
Umukobwa wambaye tank yicyatsi hejuru yambaye amadarubindi yizuba	A girl in a green tank top wearing sunglasses
Umutegarugori wambaye ishati yicyatsi azengurutswe nibibindi bya kera	A woman in a green shirt is surrounded by antiques
Umukobwa ufite amadarubindi yizuba hamwe nabaguzi mumaduka ya trinket	A girl with sunglasses and shoppers in a trinket shop
Umugore wambaye amadarubindi mu iduka rya kera	A woman wearing glasses in an old store
Umuntu wambaye umutuku	Someone in red
Umugabo ufite tatouage ku nkokora yambaye ingofero hamwe na mohawk	A man with a tattoo on his elbow wearing a helmet and a mohawk
Umugabo ufite ingofero idasanzwe yicaye hejuru ya moto yubururu	A man with a special helmet is sitting on a blue motorcycle
Umugabo ufite T-shirt n'ingofero yicaye hejuru ya moto	  A man with a T-shirt and helmet sitting on a motorcycle
Umugabo ufite mohawk itukura ategereje itara ritukura	A man with a red mohawk is waiting for a red light
Umuhungu ukiri muto arasinziriye afashe inyamaswa yuzuye umukara	A young boy is asleep holding a black animal
Umwana muto muto asinziriye yubamye hasi yuzuye inyamaswa yuzuye	A little sleeping child is lying on the ground full of animals
Umwana muto asinziriye ku buriri hamwe ninyamaswa yuzuye	  A toddler sleeping on a bed with a full animal
Umwana muto arasinzira afashe inyamaswa yuzuye	A young child sleeps with a full animal
Umwana aryamye hamwe ninyamaswa yuzuye	The baby is sleeping with a full animal
Umuzungu ufite ubwanwa bwimvi acuranga gitari acoustic inyuma yumweru yera	The white-bearded white man plays the acoustic guitar behind the white
Umugabo wambaye ikoti rya burgundy yicaye imbere ya beige mugihe acuranga gitari	A man in a burgundy jacket sits in front of a beige while playing the guitar
Umusaza wicaye ahamagaye afite gitari mu ntoki	  The old man is sitting with a guitar in his hand
Umugabo ufite ubwanwa acuranga gitari yegamiye urukuta rwera	A bearded man playing a guitar leaning against a white wall
Umugabo ufite ubwanwa arimo gucuranga gitari	The bearded man is playing the guitar
Igishushanyo cyiza cya zahabu nigishushanyo cyumugore ukuze wambaye imyenda yubururu akina birebire	The beautiful gold figure is the figure of an old woman in blue dress playing long
Abantu batatu bahagaze babiri ni abagore bacuranga ibikoresho abagore bambaye imyenda ifite idirishya ryikirahure inyuma	Three people standing in two are women playing instruments women wearing glasses with a glass window in the back
Abagore babiri numugabo bambaye imyenda yubururu na zahabu yo mu gihe cyagati naho ingofero zitukura bakina umuyaga nibikoresho byumuringa	Two women and a man in blue and gold medieval clothes and red helmets playing in the wind and brass utensils
Hano hari abantu batatu bambaye amakanzu	Here are three people in dresses
Itsinda ryabantu bacuranga umuziki bambaye imyenda yamateka	A group of musicians dressed in historical costumes
Umugabo uri muri swater ya pullover aramwenyura mugihe afashe gucuranga	  A man in a pullover sweater smiles as he helps to play
Umugabo wambaye ibishishwa byijimye byijimye acuranga inanga	A man dressed in dark leather jackets plays the harp
Umugabo acuranga inanga hanze kumuhanda	A man playing the harp outside the street
Umugabo arunama afashe gucuranga hanze	A man bows down and helps play outside
Umugabo acuranga inanga mugihe amwenyura	The man plays the harp while smiling
Umugabo ahagaze ku butaka bwuzuye hafi y'amazi atuje	A man stands on the ground full of calm water
Umugabo ufite ishati yumukara miremire n ipantaro yubururu ifi ziva muri banki	A man with a long black shirt and blue fish pants from the bank
Umugabo amazi meza kuroba afite inkingi ndende	A man fishing in fresh water has a long pillar
Umugabo	Man
Umugabo umwe ahagaze hanze kuroba	One man stands outside fishing
Umugabo agerageza gutunganya uruziga rwa gare kuruhande rwumuhanda hafi ya moto nyinshi	A man tries to fix a wheelbarrow on the side of the road near a motorcycle
Umugabo usana ipine yamagare mugihe umukiriya we amubajije ibibazo	A man repairs a wheelchair when his client asks him questions
Umugabo wo muri SUA Honda arimo gutunganya ipine	A man from SUA Honda is repairing a tire
umugabo wa mexikani yuzuza ipine ipikipiki	a mexican man fills a motorcycle tire
Umugabo inyundo ku ruziga rwa moto	A man with a hammer on a motorcycle wheel
Isinzi rinini rirateraniye ahabereye hanze	A large crowd gathers outside
Imbaga mu mujyi wa Aziya ikikije umugabo	Crowds in Asia surround the man
Abantu benshi	  Many people
Abantu buzuye hamwe kumuhanda	Crowds crowded the street
Imbaga y'abantu ihagaze mu muhanda	Crowds lined the streets
Abahungu babiri bakuru bakina urubura hamwe numuhungu muto hagati yabo	Two older boys play ice with a young boy between them
Ababyeyi bigisha umwana muto uburyo bwo gusiganwa ku maguru	Parents teach a young child how to race
Itsinda ryabantu batatu gusiganwa ku maguru	A group of three people on foot
Abagabo babiri n'umuhungu wo gusiganwa ku maguru	Two men and a boy on foot
ingimbi ebyiri hamwe no gusiganwa ku rubura	  two teenagers and ice racing
Umwana umwe muto wambaye koga asimbuka kumurongo wubururu utwika amazi	A young boy in a swimsuit jumps on a blue line and burns water
Umuhungu asimbukira hejuru yubururu bwamazi hagati yibiti byatsi	The boy jumps over the water in the middle of the grass
Umuhungu ukiri muto arimo asimbuka hejuru y'amazi atwikwa	A young boy is jumping over boiling water
Umwana arimo asimbukira munsi y'amazi mu gikari	The child is jumping under the water in the yard
Umuhungu usimbuka kumurongo utose	The boy jumps in the wet line
Hamwe na slide yubururu inyuma	With a blue slide on the back
umuhungu muto uhagaze kuri swing imbere ya slide yubururu	a little boy standing on a swing in front of a blue slide
Umwana uhagaze kandi asa nuwiyemeje mukibuga	The child stands and looks determined
Umwana ahagaze kuri swing kumikino	The child stands on a swing in the game
Umwana uhagaze kuri swing muri parike	A child stands on a swing in the park
Umukinnyi wa skateboard arimo kugenda kumusozi kandi akora amayeri mukirere	A skateboarder is walking up a hill and is doing tricks in the air
Abatinyuka bishimira imisozi yurira mu kibaya	Courageous people enjoy the mountains that flow into the valley
Abagabo skateboard bamanuka kumusozi bafite ingofero	Men skateboarding down the hill with helmets
Abasore babiri bari kuri skatebo mu ishyamba	Two young men on a skateboard in the woods
Abagabo babiri basiganwa ku maguru mu ishyamba	Two men race on foot in the forest
Umugabo numugore ukuze bafashe igishusho kinini muri studio yera	An elderly couple took a big picture in a white studio
Abagabo babiri bakuru	Two older men
abanyabugeni bategura igishusho ku gihangano gishya	craftsmen are designing a painting for a new art
Abantu babiri bakora ku gishushanyo muri studio yubuhanzi	Two people working on a painting in an art studio
abahanzi barema igice gishya kumeza	artists create a new part of the table
Umukobwa muto arimo kuzunguruka mu ibara rye ryiza cyane	The little girl is spinning in her most beautiful color
Umukobwa wambaye ipantaro yijimye amwenyura muri swing swing	The girl in the dark pants smiled at the swing swing
Umukobwa muto yicaye mumashanyarazi	The little girl is sitting in the electricity
Umukobwa muto uri muri swing araseka	The little girl in the swing laughs
Umukobwa ukiri muto	A young girl
Itsinda ryabagabo nabagore bambaye amashati yo mu turere dushyuha barimo gukinira imbere yabasuye amakuru	A group of men and women in warm district shirts are playing in front of visitors.
Itsinda	Group
Itsinda ryabantu bambaye amashati yindabyo bakina mumatsinda hanze	A group of people wearing floral shirts playing in groups outside
Itsinda rikora umuziki mukigo cyabasura amakuru	A music group at the agency would visit them
Abantu baririmbira kuri stage imbere yimbaga	People sang on stage in front of the crowd
Babiri batwara amazi mu mazi bambaye amashati yera nibikoresho bya scuba hamwe nibisumizi kubirenge	Two water divers wearing white shirts and scuba gear and sneakers on their feet
Abagabo babiri bafite imisatsi	Two men with hair
Abagabo babiri bari mumazi bafite ibikoresho bya SCUBA	Two men in the water with SCUBA equipment
Hano hari itsinda ryabantu muri pisine kandi bafite ibikoresho bya scuba	There is a group of people in the pool and with scuba gear
Aya ni imyitozo yo mumazi muri pisine	  This is a pool exercise
Abakinnyi babiri	Two players
Abanywanyi babiri	Two competitors
Abasore babiri barwanira ku matiku atukura	Two young men fight on a red mat
